Province No,District,Name of Local Level,Population,Area sq.km.,Total no of Schools(Community),Total no of Schools(Institutional),Total no of Schools,Total no of Students of All Types Schools (Grade 1-12) Girls,Total no of Students of All Types Schools (Grade 1-12) Boys,Total no of Students of All Types Schools (Grade 1-12)
1,Taplejung,Aathrai Triveni RM,13784,88.83,35,2,37,2190,1911,4101
1,Taplejung,Phaktanglung RM,12017,1858.51,43,0,43,1653,1611,3264
1,Taplejung,Phungling MC,26406,125.57,51,12,63,2236,1975,4211
1,Taplejung,Mikwa Khola RM,9160,442.96,27,0,27,1561,1269,2830
1,Taplejung,Meringden RM,12548,210.33,36,0,36,2085,1812,3897
1,Taplejung,Maiwa Khola RM,11037,138,28,0,28,3598,3279,6877
1,Taplejung,Yangwarak RM,13591,93.76,36,0,36,2066,1906,3972
1,Taplejung,Sidingwa RM,12099,206,39,0,39,2835,2526,5361
1,Taplejung,Sirijangha RM,15806,481.09,42,0,42,2183,1998,4181
1,Panchthar,Kummayak RM,16118,129.3,39,4,43,3202,2873,6075
1,Panchthar,Tumbwa RM,13419,117.34,41,2,43,2040,1932,3972
1,Panchthar,Phalelung RM,21884,207.14,47,7,54,3878,3439,7317
1,Panchthar,Phalgunanda RM,24060,107.53,40,8,48,3495,3024,6519
1,Panchthar,Phidim MC,49201,192.5,80,14,94,4158,3911,8069
1,Panchthar,Miklajung RM,24715,166.61,56,10,66,7694,7252,14946
1,Panchthar,Yangwarak RM,18281,208.63,43,8,51,2301,2179,4480
1,Panchthar,Hilihang RM,22913,123.01,44,6,50,2934,2639,5573
1,Ilam,Ilam MC,48536,173.32,58,23,81,2404,2058,4462
1,Ilam,Chulachuli RM,20820,108.46,23,2,25,4863,4099,8962
1,Ilam,Deumai MC,32927,191.63,54,11,65,7107,6882,13989
1,Ilam,"Phakphokthum
RM",21619,108.79,42,6,48,4151,3859,8010
1,Ilam,Mai MC,32576,246.11,50,10,60,2498,2136,4634
1,Ilam,Maijogmai RM,21044,172.41,38,5,43,2697,2385,5082
1,Ilam,Mangsebung RM,18503,142.41,33,2,35,3328,2799,6127
1,Ilam,Rong RM,19135,155.06,31,0,31,1851,1516,3367
1,Ilam,Sandakpur RM,16065,156.01,32,3,35,1666,1404,3070
1,Ilam,Suryodaya MC,56691,252.52,71,24,95,7416,6218,13634
1,Jhapa,Arjundhara MC,60204,109.86,32,17,49,6258,6080,12338
1,Jhapa,Kachankabal RM,39535,109.45,33,4,37,4138,4065,8203
1,Jhapa,Kankai MC,40141,80.98,17,11,28,7802,8851,16653
1,Jhapa,Kamal RM,44365,104.57,27,17,44,14802,15121,29923
1,Jhapa,Gauradaha MC,53033,149.86,35,17,52,5453,5203,10656
1,Jhapa,Gauriganj RM,33038,101.35,26,10,36,7378,6916,14294
1,Jhapa,Jhapa RM,34601,94.12,40,7,47,6324,6082,12406
1,Jhapa,Damak MC,75102,70.86,25,25,50,3979,3832,7811
1,Jhapa,Bahradasi RM,33653,88.44,24,7,31,3560,3532,7092
1,Jhapa,Buddhashanti RM,41615,79.78,19,11,30,5325,5149,10474
1,Jhapa,Bhadrapur MC,65543,96.35,33,27,60,4529,4630,9159
1,Jhapa,Mechinagar MC,111797,192.85,43,46,89,5392,5129,10521
1,Jhapa,Birtamod MC,82592,78.24,26,55,81,4747,4763,9510
1,Jhapa,Shivasatakshi MC,64596,145.87,39,22,61,11992,11648,23640
1,Jhapa,Haldibari RM,29223,117.34,18,7,25,7696,7178,14874
1,Morang,Urlabari MC,54696,74.62,20,20,40,6655,6244,12899
1,Morang,Katahari RM,39775,51.59,20,3,23,18542,17426,35968
1,Morang,Kanepokhari RM,38033,82.83,18,4,22,3455,3283,6738
1,Morang,Kerabari RM,30431,219.83,27,6,33,5962,5608,11570
1,Morang,Gramthan RM,32717,71.84,23,5,28,2997,2760,5757
1,Morang,Jahada RM,41819,62.38,29,1,30,4411,4078,8489
1,Morang,Dhapalthan RM,39394,70.26,26,5,31,3082,2968,6050
1,Morang,Pathari Sanischare MC,62440,79.81,27,16,43,4021,3858,7879
1,Morang,Budhiganga RM,41586,56.41,19,8,27,4257,3820,8077
1,Morang,Belbari MC,65892,132.79,28,13,41,4485,4196,8681
1,Morang,Miklajung RM,28708,158.98,34,9,43,4024,3816,7840
1,Morang,Rangeli MC,52013,111.78,28,10,38,6482,6431,12913
1,Morang,Ratuwamai MC,55380,142.15,45,8,53,6229,5808,12037
1,Morang,Letang MC,32053,219.23,34,13,47,7280,6661,13941
1,Morang,Biratnagar MP,214663,77,83,38,121,4742,4428,9170
1,Morang,Sunbarshi MC,50758,106.4,41,7,48,8338,7981,16319
1,Morang,Sundarharicha MC,80518,110.16,42,18,60,7893,7409,15302
1,Sunsari,Itahari Sub-MP,140517,93.78,39,94,133,11027,9913,20940
1,Sunsari,Inaruwa MC,63593,77.92,40,28,68,3531,3273,6804
1,Sunsari,Koshi RM,43626,75.98,45,6,51,4476,4291,8767
1,Sunsari,Gadhi RM,34852,67.7,27,10,37,3372,3081,6453
1,Sunsari,Duhabi MC,56269,76.67,35,13,48,18938,17702,36640
1,Sunsari,Dewanganj RM,35073,53.56,29,3,32,7275,6599,13874
1,Sunsari,Dharan Sub-MP,137705,192.32,60,87,147,3387,3128,6515
1,Sunsari,Baraha MC,77408,222.09,59,29,88,5809,5805,11614
1,Sunsari,Barju RM,31178,69.43,30,4,34,7318,7738,15056
1,Sunsari,Bhokraha RM,40509,63.37,41,5,46,19559,19110,38669
1,Sunsari,Ramdhuni MC,51752,91.69,29,23,52,5483,5306,10789
1,Sunsari,Harinagara RM,40846,52.29,46,11,57,5885,5451,11336
1,Dhankuta,Khalsa Chhintang Sahidbhumi RM,18760,99.55,39,5,44,3061,2900,5961
1,Dhankuta,Chaubise RM,19283,147.6,52,6,58,2667,2342,5009
1,Dhankuta,"Chhathar Jorpati
RM",18322,102.83,33,7,40,7254,6703,13957
1,Dhankuta,Dhankuta MC,36619,111,42,20,62,3065,2618,5683
1,Dhankuta,Pakhribas MC,22078,144.29,37,5,42,4250,3663,7913
1,Dhankuta,Mahalaxmi MC,24800,129.39,53,4,57,2954,2720,5674
1,Dhankuta,Sanguri Gadi RM,21536,16644,54,4,58,3017,2590,5607
1,Terhathum,Atharai RM,21747,167.07,59,3,62,4041,3473,7514
1,Terhathum,Chhatha RM,16715,133.93,47,2,49,2704,2291,4995
1,Terhathum,Phedap RM,17700,110.83,43,5,48,2904,2656,5560
1,Terhathum,Menchayayem RM,8078,70.09,23,0,23,1441,1263,2704
1,Terhathum,Myanglung MC,19659,100.21,31,7,38,3427,3192,6619
1,Terhathum,Laligurans MC,16970,90.27,32,4,36,2623,2233,4856
1,Sankhuwasabha,Khandbari MC,31177,122.78,46,16,62,954,902,1856
1,Sankhuwasabha,Chichila RM,7065,88.63,21,0,21,1065,1089,2154
1,Sankhuwasabha,ChiMCur MC,27308,223.69,59,5,64,4085,3895,7980
1,Sankhuwasabha,Dharmadevi MC,18235,132.82,37,6,43,2700,2456,5156
1,Sankhuwasabha,Panchkhapan MC,17521,148.03,42,1,43,6004,5851,11855
1,Sankhuwasabha,Bhotkhola RM,6576,639.01,23,1,24,2231,2167,4398
1,Sankhuwasabha,Makalu RM,13204,519.45,46,2,48,2124,2095,4219
1,Sankhuwasabha,Madi MC,14470,110.1,35,3,38,2603,2397,5000
1,Sankhuwasabha,Sabhapokhari RM,10492,222.08,30,3,33,1802,1705,3507
1,Sankhuwasabha,Silichung RM,12174,293.26,40,1,41,1813,1668,3481
1,Bhojpur,Arun RM,17687,154.76,36,2,38,2691,2672,5363
1,Bhojpur,Aamchouk RM,18720,184.89,43,1,44,2570,2297,4867
1,Bhojpur,"Tyamke Mayung
RM",17911,173.41,46,1,47,4857,4384,9241
1,Bhojpur,"Pauwa Dumma
RM",15394,118.86,34,2,36,2243,2113,4356
1,Bhojpur,Bhojpur MC,27204,159.51,45,9,54,2305,2029,4334
1,Bhojpur,Ramprasad Rai RM,18848,158.83,34,1,35,2423,2340,4763
1,Bhojpur,Sadananda MC,31610,241.15,71,5,76,4629,4364,8993
1,Bhojpur,Salpa Silichho RM,13111,193.33,41,1,42,2277,2146,4423
1,Bhojpur,Hatuwagadhi RM,20404,142.61,39,1,40,2464,2290,4754
1,Solukhumbu,Khumbu Pasang Lamu RM,8989,1539.11,19,1,20,2851,2738,5589
1,Solukhumbu,Dudhkosi RM,13414,167.67,40,1,41,2199,1995,4194
1,Solukhumbu,Dudhkausika RM,19672,144.6,53,0,53,1252,1146,2398
1,Solukhumbu,Necha Salyan RM,16129,94.49,44,2,46,874,758,1632
1,Solukhumbu,Mahakulung RM,11452,648.05,19,0,19,2036,1904,3940
1,Solukhumbu,Likhu Pike RM,5534,124.38,22,0,22,2887,2726,5613
1,Solukhumbu,Sotang RM,9530,103,26,1,27,3423,3303,6726
1,Solukhumbu,Solu Dudhkunda MC,20399,538.09,64,4,68,2107,2075,4182
1,Okhaldhunga,Khiji Demba RM,15106,179.77,54,2,56,2997,2821,5818
1,Okhaldhunga,Champadevi RM,18613,126.91,42,0,42,2026,1888,3914
1,Okhaldhunga,Chisankhugadi RM,15196,126.91,44,1,45,3101,2852,5953
1,Okhaldhunga,"Manebhanjyang
RM",21082,146.61,46,3,49,2411,2304,4715
1,Okhaldhunga,Molung RM,15862,112,24,2,26,3019,2710,5729
1,Okhaldhunga,Likhu RM,14049,88.03,31,0,31,1482,1413,2895
1,Okhaldhunga,Siddicharan MC,28374,167.88,54,5,59,3222,2993,6215
1,Okhaldhunga,Sunkoshi RM,18550,143.75,39,4,43,2920,2766,5686
1,Khotang,Ainselukharka RM,16097,125.93,43,1,44,2480,2232,4712
1,Khotang,Kepilasgadi RM,15288,191.55,39,2,41,2278,2163,4441
1,Khotang,Khotehang RM,22474,164.09,51,1,52,3241,3161,6402
1,Khotang,Jantedhunga RM,15444,128.68,37,0,37,4956,4525,9481
1,Khotang,Diprung RM,20175,136.59,50,2,52,2607,2316,4923
1,Khotang,Rupakot Majhuwagadhi RM,46903,246.51,93,14,107,2335,2045,4380
1,Khotang,Lamidanda RM,13369,97.44,28,1,29,3862,3501,7363
1,Khotang,Barahapokhari RM,14349,141.57,35,0,35,1914,1859,3773
1,Khotang,Sakela RM,11594,79.99,28,1,29,8145,7865,16010
1,Khotang,Halesi Tuwachung MC,29532,280.17,89,1,90,1644,1501,3145
1,Udayapur,"Udayapurgadhi
RM",30731,269.51,61,1,62,6387,6088,12475
1,Udayapur,Katari MC,56146,424.89,84,18,102,7695,7304,14999
1,Udayapur,Chaudandigadhi MC,48574,283.78,49,22,71,9388,8935,18323
1,Udayapur,Tapli RM,14562,119.11,37,3,40,4055,3718,7773
1,Udayapur,Triyuga MC,87557,547.43,76,44,120,2154,1942,4096
1,Udayapur,Rautamai RM,23481,204.08,60,0,60,2619,2597,5216
1,Udayapur,Belaka MC,42386,344.73,52,14,66,14706,14138,28844
1,Udayapur,Sunkoshi RM,11992,106.8,32,0,32,4597,4476,9073
2,Saptari,Agnisair Krishna Sabran RM,27129,103.08,21,3,24,2777,2617,5394
2,Saptari,Kanchanrup MC,35238,117.34,31,4,35,2186,2079,4265
2,Saptari,Khadak MC,45367,96.77,43,2,45,3173,2875,6048
2,Saptari,Chhinnamasta RM,28370,38.71,22,3,25,4505,4476,8981
2,Saptari,Dakneshwari MC,44782,69.11,25,2,27,5030,4655,9685
2,Saptari,Tirahut RM,22010,37.81,10,2,12,2562,2289,4851
2,Saptari,Tilathi Koiladi RM,32389,32.91,21,2,23,5929,5431,11360
2,Saptari,Balan Bihul RM,26068,33.04,18,2,20,4983,4558,9541
2,Saptari,Bishnupur RM,19913,36.61,21,2,23,5188,4804,9992
2,Saptari,Belhi Chapena RM,29459,47.92,22,2,24,5184,4701,9885
2,Saptari,Bodebarsain MC,43229,58.93,32,4,36,2977,2747,5724
2,Saptari,Mahadewa RM,28542,34.97,18,2,20,7187,8002,15189
2,Saptari,Rajbiraj MC,69803,55.64,44,7,51,2874,2516,5390
2,Saptari,Rupani RM,26387,56.08,15,2,17,2604,2193,4797
2,Saptari,Shambhunath MC,38018,108.71,27,2,29,3543,3164,6707
2,Saptari,Saptakoshi RM,21131,60.25,13,4,17,4954,4298,9252
2,Saptari,Surunga MC,44221,107.04,35,2,37,4929,4466,9395
2,Saptari,Hanumannagar Kankalini MC,45734,118.19,31,4,35,1055,976,2031
2,Siraha,Arnama RM,22912,37.76,15,1,16,2744,2626,5370
2,Siraha,Aurahi RM,23046,35.87,15,2,17,2040,1884,3924
2,Siraha,Karjanha RM,30967,76.84,23,6,29,3419,3472,6891
2,Siraha,Kalyanpur MC,49288,76.81,37,12,49,2696,2556,5252
2,Siraha,Golbazaar MC,52137,111.94,31,24,55,2238,2256,4494
2,Siraha,Dhangadhimai MC,47449,159.51,34,17,51,6748,6748,13496
2,Siraha,Naraha RM,19369,29.28,14,5,19,7732,8043,15775
2,Siraha,Navarajpur RM,19019,32.18,20,1,21,5482,5281,10763
2,Siraha,Bariyarpatti RM,25256,37.72,24,6,30,4213,4208,8421
2,Siraha,Bhagawanpur RM,20957,33.03,16,3,19,13307,14264,27571
2,Siraha,Mirchaiya MC,50079,91.97,32,23,55,3509,3319,6828
2,Siraha,"Laxmipur Patari
RM",26913,42.33,19,5,24,8381,9066,17447
2,Siraha,Lahan MC,91766,167.17,67,46,113,2170,2268,4438
2,Siraha,Bishnupur RM,18522,26.34,13,5,18,2351,2313,4664
2,Siraha,Sakhuwanan karkatti RM,18558,32.84,19,1,20,1881,1695,3576
2,Siraha,Siraha MC,82531,94.2,64,41,105,12748,12948,25696
2,Siraha,Sukhipur RM,37592,54.78,29,9,38,5741,5471,11212
2,Dhanusha,Aaurahi RM,32578,25.56,10,3,13,2915,2574,5489
2,Dhanusha,"Kamala Siddhidatri
RM",38877,65.85,17,2,19,3325,2976,6301
2,Dhanusha,Kshireshwarnath MC,42541,50.85,24,0,24,3607,3502,7109
2,Dhanusha,Ganeshman Charnath MC,37300,244.31,20,2,22,2167,2015,4182
2,Dhanusha,Janak Nandani RM,25085,27.62,13,2,15,4872,4670,9542
2,Dhanusha,Janakpur Sub-MP,159468,91.97,61,13,74,3140,2974,6114
2,Dhanusha,Dhanushadham MC,45665,91.64,21,2,23,3133,2884,6017
2,Dhanusha,Dhanaugi RM,21395,22.13,10,1,11,3236,3221,6457
2,Dhanusha,Nagarain MC,35630,49,16,1,17,12173,11265,23438
2,Dhanusha,Bateshwar RM,21530,31.66,21,1,22,3960,3610,7570
2,Dhanusha,Mithila MC,45164,187.93,29,2,31,4430,4102,8532
2,Dhanusha,Mithila Bihari RM,33521,37.6,15,1,16,4219,3978,8197
2,Dhanusha,Mukhiyapatti Musarniya RM,25482,26.84,10,1,11,4903,4576,9479
2,Dhanusha,Laxminiya RM,28251,30.66,24,1,25,3993,3460,7453
2,Dhanusha,Bideha MC,32266,45.51,15,4,19,3341,3128,6469
2,Dhanusha,Sahidnagar MC,43007,57.37,30,6,36,3869,3586,7455
2,Dhanusha,Sabaila MC,45879,64.47,26,2,28,5845,5243,11088
2,Dhanusha,Hanshapur RM,39145,48.71,23,1,24,6387,5996,12383
2,Mahottari,Ekdara RM,29315,24,17,2,19,4286,3969,8255
2,Mahottari,Aurahi RM,31751,35.76,17,1,18,6069,5665,11734
2,Mahottari,Gaushala MC,66673,144.73,36,14,50,8940,8371,17311
2,Mahottari,Jaleshwar MC,58549,44.26,38,13,51,7062,6762,13824
2,Mahottari,Pipara RM,35524,39.98,23,3,26,4544,4356,8900
2,Mahottari,Bardibas MC,66358,315.57,56,11,67,9846,9305,19151
2,Mahottari,Balwa RM,42341,44.07,29,3,32,8785,8548,17333
2,Mahottari,Bhangaha MC,46757,77.21,37,3,40,5969,5739,11708
2,Mahottari,Mathiyani RM,31026,29.02,14,2,16,3308,3196,6504
2,Mahottari,Manara Siswa MC,49692,49.73,27,3,30,5898,5723,11621
2,Mahottari,Mahottari RM,27430,28.08,12,0,12,3261,3150,6411
2,Mahottari,Ram Gopalpur RM,29606,39.54,18,3,21,5035,5105,10140
2,Mahottari,Loharpatti RM,39579,50.06,22,6,28,4715,4424,9139
2,Mahottari,Samsi RM,33791,21.57,11,2,13,4024,3592,7616
2,Mahottari,Sonama RM,38747,57.77,18,1,19,5317,5128,10445
2,Sarlahi,Ishwarpur MC,59986,163.83,47,7,54,2267,2079,4346
2,Sarlahi,Kabilashi RM,42336,48.11,15,1,16,4969,4902,9871
2,Sarlahi,Kaudena RM,26085,25.33,14,0,14,7849,7430,15279
2,Sarlahi,Godaita MC,47687,48.62,23,3,26,2214,2020,4234
2,Sarlahi,Chhakraghata RM,27952,25.16,15,0,15,2571,2534,5105
2,Sarlahi,Chandranagar RM,33328,47.5,11,1,12,3724,3453,7177
2,Sarlahi,Dhankaul RM,24788,45.94,7,0,7,3036,2864,5900
2,Sarlahi,Parsa RM,21650,23.12,13,1,14,4107,3789,7896
2,Sarlahi,Barahathawa MC,69822,107.05,35,17,52,1737,1591,3328
2,Sarlahi,Balara MC,45194,48.55,27,0,27,7254,6682,13936
2,Sarlahi,Basbariya RM,23568,29.42,12,0,12,6277,5714,11991
2,Sarlahi,Bagmati MC,40399,101.18,14,2,16,6882,6382,13264
2,Sarlahi,Brahmapuri RM,29832,33.89,7,0,7,4961,4525,9486
2,Sarlahi,Malangwa MC,46516,30.44,23,11,34,9770,9146,18916
2,Sarlahi,Ramnagar RM,28727,26.44,18,0,18,3743,3480,7223
2,Sarlahi,Lalbandi MC,59395,238.5,52,13,65,3389,3309,6698
2,Sarlahi,Bishnupur RM,24748,28.09,7,0,7,8942,8515,17457
2,Sarlahi,Haripur MC,37351,66.86,21,1,22,6003,6034,12037
2,Sarlahi,Haripurwa MC,36042,30.5,14,0,14,2728,2413,5141
2,Sarlahi,Harion MC,43924,86.12,30,13,43,4095,3912,8007
2,Rautahat,Isnatha RM,41435,35.17,29,2,31,952,862,1814
2,Rautahat,Kathariya RM,38413,40.69,24,2,26,4310,4175,8485
2,Rautahat,Gadhimai RM,40410,49.44,25,2,27,6178,5902,12080
2,Rautahat,Garuda MC,50481,44.46,30,2,32,1207,1182,2389
2,Rautahat,Gujara RM,46592,150.33,27,2,29,2908,2880,5788
2,Rautahat,Gaur MC,34937,21.53,30,2,32,2750,2688,5438
2,Rautahat,Chandrapur MC,72059,249.96,52,3,55,3626,3617,7243
2,Rautahat,"Durga Bhagwati
RM",22599,19.18,23,2,25,6088,6224,12312
2,Rautahat,"Dewahi Gonahi
RM",32143,33.99,17,4,21,5528,5591,11119
2,Rautahat,Paroha RM,37453,37.45,23,4,27,3879,3566,7445
2,Rautahat,"Fathuha Bijaypur
RM",36533,65.24,22,4,26,4966,4768,9734
2,Rautahat,Birindaban RM,42735,95.4,23,4,27,4385,4486,8871
2,Rautahat,Baudhimai RM,36265,35.34,12,4,16,2962,2858,5820
2,Rautahat,"Madhavnarayan
RM",35175,48.53,22,2,24,2168,2136,4304
2,Rautahat,Maulapur RM,26431,34.75,24,2,26,3688,3784,7472
2,Rautahat,Yamunamai RM,23884,16.7,17,2,19,2599,2480,5079
2,Rautahat,Rajdevi MC,31292,28.21,22,2,24,3453,3228,6681
2,Rautahat,Rajpur RM,41078,31.41,21,2,23,2125,1976,4101
2,Bara,"Adarsha Kotwal
RM",27552,36.25,14,2,16,3486,3287,6773
2,Bara,Karaiyamai RM,26400,47.69,21,1,22,3469,3261,6730
2,Bara,Kalaiya Sub-MP,123659,108.94,67,2,69,1533,1449,2982
